traditionnelle;rectifiee;categorie;source
entre-temps;entretemps;soudure;Wikipedia+Wiktionnaire:Rectifications-1990
contre-attaque;contrattaque;soudure;Wikipedia:Rectifications-1990
contre-attaques;contrattaques;soudure;Wikipedia:Rectifications-1990
contre-appel;contrappel;soudure;Wikipedia:Rectifications-1990
contre-pied;contrepied;soudure;Wiktionnaire:Annexe-Rectifications-1990
tic-tac;tictac;soudure;Wikipedia+Wiktionnaire:Rectifications-1990
tic-tacs;tictacs;soudure;Wikipedia:Rectifications-1990
agro-alimentaire;agroalimentaire;soudure;Wiktionnaire:Annexe-Rectifications-1990
corolle;corole;olle_otte;Wikipedia:Rectifications-1990
corolles;coroles;olle_otte;Wikipedia:Rectifications-1990
girolle;girole;olle_otte;Wikipedia:Rectifications-1990
girolles;giroles;olle_otte;Wikipedia:Rectifications-1990
frisotter;frisoter;olle_otte;Wikipedia:Rectifications-1990
frisottement;frisotement;olle_otte;Wikipedia:Rectifications-1990
cachotterie;cachoterie;olle_otte;Wikipedia:Rectifications-1990
cachottier;cachotier;olle_otte;Wikipedia:Rectifications-1990
amoncelle;amoncèle;eler_eter;Wikipedia:Rectifications-1990
amoncellement;amoncèlement;eler_eter;Wikipedia:Rectifications-1990
renouvelle;renouvèle;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
renouvellement;renouvèlement;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
ruisselle;ruissèle;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
ruissellement;ruissèlement;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
nivelle;nivèle;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
nivellement;nivèlement;eler_eter;WebSearch(oqlf.gouv.qc.ca):Rectifications-1990
des après-midi;des après-midis;pluriel_composes;Wikipedia:Rectifications-1990
les après-midi;les après-midis;pluriel_composes;Wikipedia:Rectifications-1990
ces après-midi;ces après-midis;pluriel_composes;Wikipedia:Rectifications-1990
plusieurs après-midi;plusieurs après-midis;pluriel_composes;Wikipedia:Rectifications-1990
sandwiches;sandwichs;emprunts;Wikipedia:Rectifications-1990
matches;matchs;emprunts;Wiktionnaire:Annexe-Rectifications-1990
