terme;categorie;forme_privilegiee;variantes;frequence;documents;sigle_developpement;statut;source_normative;exemple_1;exemple_2;note
PTBS;sigle;PTBS;;9;2;erten Traumafolgestörungen wie zum Beispiel Posttraumatischen Belastungsstörungen;neutre;;;;
VZÄ;sigle;VZÄ;;9;2;Vollzeitäquivalente;neutre;;;;
EASIE;sigle;EASIE;;8;5;Die Statistik der Europäischen Agentur für inklusive Bildung;neutre;;;;
SHP1;sigle;SHP1;;8;2;eröffnet eine Studentin der Schulischen Heilpädagogik;neutre;;;;
BPR;sigle;BPR;;8;2;Das Bundesgesetz über die politischen Rechte;neutre;;;;
IFI;sigle;IFI;;8;2;bei Beziehenden von IV-Leistungen und die Schaffung von Frühinterventionszentren;neutre;;;;
ETH;sigle;ETH;;7;4;Studium an einer Universität oder an einer Eidgenössischen Technischen Hochschule;neutre;;;;
SBB;sigle;SBB;;7;3;Die Schweizerische Bundesbahn;neutre;;;;
FH;sigle;FH;;7;7;oder vereinzelt auch an den Fachhochschulen;neutre;;;;
ORF;sigle;ORF;;7;3;Dem Österreichischen Rundfunk;neutre;;;;
VSG;sigle;VSG;;6;2;eispielsweise vom Verein Schweizerischer Gymnasiallehrerinnen und Gymnasiallehrer;neutre;;;;
SG;sigle;SG;;6;6;Systemische Beraterin;neutre;;;;
EFK;sigle;EFK;;5;2;leistungsschwächen und mangelnder sozialer Reife zwei Jahre die Einführungsklasse;neutre;;;;
SNF;sigle;SNF;;5;5;die im Rahmen des vom Schweizerischen Nationalfonds;neutre;;;;
CI;sigle;CI;;5;2;Das Cochlea-Implantat;neutre;;;;
IFEG;sigle;IFEG;;5;2;zes über die Institutionen zur Förderung der Eingliederung von invaliden Personen;neutre;;;;
ISV;sigle;ISV;;5;2;die neue Interkantonale Spitalschulvereinbarung;neutre;;;;
EAA;sigle;EAA;;5;3;und der European Accessibility Act;neutre;;;;
EA;sigle;EA;;4;2;Die European Agency;neutre;;;;
BASPO;sigle;BASPO;;4;2;Das lab7x1 des Bundesamts für Sport;neutre;;;;
ISB;sigle;ISB;;4;3;Die inklusive Sprachbildung;neutre;;;;
IVG;sigle;IVG;;4;3;Gestützt auf Artikel 74 des Invalidenversicherungsgesetzes;neutre;;;;
UPK;sigle;UPK;;4;2;Universitäre Psychiatrische Kliniken;neutre;;;;
BSFH;sigle;BSFH;;3;2;m Besuch der Berufsfachschule für Lernende mit Hör- und Kommunikationsbehinderung;neutre;;;;
LP;sigle;LP;;3;2;und Lehrpersonen;neutre;;;;
IDB;sigle;IDB;;3;3;Institut für Diversität und inklusive Bildung;neutre;;;;
ZEL;sigle;ZEL;;3;2;Heidelberg;neutre;;;;
CASEL;sigle;CASEL;;3;2;and Emotional Learning;neutre;;;;
VR;sigle;VR;;3;3;Virtual Reality;neutre;;;;
NRW;sigle;NRW;;3;2;wie sonderpädagogische Lehrkräfte im Rhein-Ruhrgebiet;neutre;;;;
SEL;sigle;SEL;;3;2;Bereich der Verhaltensförderung hat sich insbesondere das sozio-emotionale Lernen;neutre;;;;
EPAFF;sigle;EPAFF;;2;2;Erledigung parlamentarische Aufträge im Bereich der frühen Förderung;neutre;;;;
SP;sigle;SP;;2;2;Der Bundesrat wird in einem Postulat von Gabriela Suter;neutre;;;;
HPS;sigle;HPS;;2;2;sche Situation für Kinder mit Behinderungen an der Heilpädagogischen Schule Aarau;neutre;;;;
NFA;sigle;NFA;;2;2;Mit dem Nationalen Finanzausgleich;neutre;;;;
AHVN13;sigle;AHVN13;;2;2;atenbanken des Bundes anhand der Alters- und Hinterbliebenen-Versicherungs-Nummer;neutre;;;;
HUG;sigle;HUG;;2;2;les Hôpitaux universitaires de Genève;neutre;;;;
SODK;sigle;SODK;;2;2;Die Kantonale Konferenz der Sozialdirektorinnen und Sozialdirektoren;neutre;;;;
BSO;sigle;BSO;;2;2;Supervisorin;neutre;;;;
BNE;sigle;BNE;;2;2;Mit der Bildung für eine nachhaltige Entwicklung;neutre;;;;
NMG;sigle;NMG;;2;2;Gesellschaft;neutre;;;;
GDK;sigle;GDK;;2;2;direktoren;neutre;;;;
BAG;sigle;BAG;;2;2;das Bundesamt für Gesundheit;neutre;;;;
SBV;sigle;SBV;;2;2;die Rede von Luana Schena vom Schweizerischen Blinden- und Sehbehindertenverband;neutre;;;;
KT;sigle;KT;;110;20;;neutre;;;;sigle jamais développé dans le corpus
CSPS;sigle;CSPS;;50;35;;neutre;;;;sigle jamais développé dans le corpus
AV1;sigle;AV1;;25;2;;neutre;;;;sigle jamais développé dans le corpus
IDES;sigle;IDES;;24;20;;neutre;;;;sigle jamais développé dans le corpus
UNO;sigle;UNO;;18;10;;neutre;;;;sigle jamais développé dans le corpus
AG;sigle;AG;;11;10;;neutre;;;;sigle jamais développé dans le corpus
PISA;sigle;PISA;;11;7;;neutre;;;;sigle jamais développé dans le corpus
AHV;sigle;AHV;;8;7;;neutre;;;;sigle jamais développé dans le corpus
UNESCO;sigle;UNESCO;;8;7;;neutre;;;;sigle jamais développé dans le corpus
SGB;sigle;SGB;;7;4;;neutre;;;;sigle jamais développé dans le corpus
ADS;sigle;ADS;;7;5;;neutre;;;;sigle jamais développé dans le corpus
FSS;sigle;FSS;;6;3;;neutre;;;;sigle jamais développé dans le corpus
SRF;sigle;SRF;;6;4;;neutre;;;;sigle jamais développé dans le corpus
BELIMA;sigle;BELIMA;;6;2;;neutre;;;;sigle jamais développé dans le corpus
ICF;sigle;ICF;;5;5;;neutre;;;;sigle jamais développé dans le corpus
SPSS;sigle;SPSS;;5;5;;neutre;;;;sigle jamais développé dans le corpus
CAS;sigle;CAS;;5;3;;neutre;;;;sigle jamais développé dans le corpus
EDA;sigle;EDA;;4;4;;neutre;;;;sigle jamais développé dans le corpus
IF;sigle;IF;;4;4;;neutre;;;;sigle jamais développé dans le corpus
QR;sigle;QR;;4;4;;neutre;;;;sigle jamais développé dans le corpus
ICD;sigle;ICD;;4;2;;neutre;;;;sigle jamais développé dans le corpus
ÜGK;sigle;ÜGK;;4;2;;neutre;;;;sigle jamais développé dans le corpus
ARQUIS;sigle;ARQUIS;;4;2;;neutre;;;;sigle jamais développé dans le corpus
ARLA;sigle;ARLA;;4;2;;neutre;;;;sigle jamais développé dans le corpus
DAZ;sigle;DAZ;;3;2;;neutre;;;;sigle jamais développé dans le corpus
ASA;sigle;ASA;;3;2;;neutre;;;;sigle jamais développé dans le corpus
ARD;sigle;ARD;;3;3;;neutre;;;;sigle jamais développé dans le corpus
UR;sigle;UR;;3;3;;neutre;;;;sigle jamais développé dans le corpus
IQ;sigle;IQ;;3;3;;neutre;;;;sigle jamais développé dans le corpus
QAMA;sigle;QAMA;;3;2;;neutre;;;;sigle jamais développé dans le corpus
HES;sigle;HES;;3;3;;neutre;;;;sigle jamais développé dans le corpus
GR;sigle;GR;;3;3;;neutre;;;;sigle jamais développé dans le corpus
TV;sigle;TV;;3;3;;neutre;;;;sigle jamais développé dans le corpus
TREE2;sigle;TREE2;;2;2;;neutre;;;;sigle jamais développé dans le corpus
ZEM;sigle;ZEM;;2;2;;neutre;;;;sigle jamais développé dans le corpus
PC;sigle;PC;;2;2;;neutre;;;;sigle jamais développé dans le corpus
ARGAU;sigle;ARGAU;;2;2;;neutre;;;;sigle jamais développé dans le corpus
SBBK;sigle;SBBK;;2;2;;neutre;;;;sigle jamais développé dans le corpus
IFB;sigle;IFB;;2;2;;neutre;;;;sigle jamais développé dans le corpus
NZZ;sigle;NZZ;;2;2;;neutre;;;;sigle jamais développé dans le corpus
MAE;sigle;MAE;;2;2;;neutre;;;;sigle jamais développé dans le corpus
FSP;sigle;FSP;;2;2;;neutre;;;;sigle jamais développé dans le corpus
MAS;sigle;MAS;;2;2;;neutre;;;;sigle jamais développé dans le corpus
SDQ;sigle;SDQ;;2;2;;neutre;;;;sigle jamais développé dans le corpus
PAT;sigle;PAT;;2;2;;neutre;;;;sigle jamais développé dans le corpus
DSM;sigle;DSM;;2;2;;neutre;;;;sigle jamais développé dans le corpus
GE;sigle;GE;;2;2;;neutre;;;;sigle jamais développé dans le corpus
ÖV;sigle;ÖV;;2;2;;neutre;;;;sigle jamais développé dans le corpus
TEACCH;sigle;TEACCH;;2;2;;neutre;;;;sigle jamais développé dans le corpus
IQSH;sigle;IQSH;;2;2;;neutre;;;;sigle jamais développé dans le corpus
ILIAS;sigle;ILIAS;;2;2;;neutre;;;;sigle jamais développé dans le corpus
ELTE;sigle;ELTE;;2;2;;neutre;;;;sigle jamais développé dans le corpus
FASD;sigle;FASD;;2;2;;neutre;;;;sigle jamais développé dans le corpus
innen;autre;innen;in-nen;1758;174;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Menschen;autre;Menschen;men-schen;1303;129;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
sowie;autre;sowie;so-wie;711;163;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Jugendlichen;autre;Jugendlichen;ju-gendlichen;417;67;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Entwicklung;autre;Entwicklung;ent-wicklung;404;124;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Behinderung;handicap;Behinderung;behin-derung;353;73;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Unterricht;ecole;Unterricht;unter-richt;346;100;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Massnahmen;methode;Massnahmen;mass-nahmen;339;83;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Personen;autre;Personen;per-sonen;316;108;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Fachpersonen;autre;Fachpersonen;fach-personen;299;97;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Jugendliche;autre;Jugendliche;jugend-liche;270;68;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
inklusive;autre;inklusive;inklu-sive;270;81;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
schulischen;ecole;schulischen;schuli-schen;266;88;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Herausforderungen;autre;Herausforderungen;heraus-forderungen;250;102;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Kommunikation;autre;Kommunikation;kom-munikation|kommuni-kation;249;92;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
insbesondere;autre;insbesondere;ins-besondere;248;119;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
verschiedenen;autre;verschiedenen;ver-schiedenen;227;113;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
leben;autre;leben;le-ben;224;82;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Ergebnisse;autre;Ergebnisse;ergeb-nisse;220;88;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Erfahrungen;autre;Erfahrungen;erfah-rungen;205;98;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
ermöglichen;autre;ermöglichen;ermög-lichen|er-möglichen;196;113;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
gemeinsam;autre;gemeinsam;gemein-sam;193;96;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Gesellschaft;autre;Gesellschaft;gesel-lschaft;183;78;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
eigene;autre;eigene;eige-ne;177;86;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Frage;autre;Frage;fra-ge;169;85;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
erleben;autre;erleben;erle-ben;162;76;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
führen;autre;führen;füh-ren;154;94;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
unterschiedlichen;autre;unterschiedlichen;unter-schiedlichen;144;83;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
beziehungsweise;autre;beziehungsweise;bezie-hungsweise|be-ziehungsweise;143;82;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Situationen;autre;Situationen;situa-tionen;143;67;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
ermöglicht;autre;ermöglicht;ermög-licht;135;86;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Möglichkeiten;autre;Möglichkeiten;möglich-keiten;135;78;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
entwickeln;autre;entwickeln;ent-wickeln;135;83;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
möglich;autre;möglich;mög-lich;133;82;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Beziehung;autre;Beziehung;be-ziehung;132;46;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
weiter;autre;weiter;wei-ter;131;83;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Forschung;autre;Forschung;for-schung;130;64;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Bedeutung;autre;Bedeutung;be-deutung;130;90;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
wieder;autre;wieder;wie-der;127;75;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Nachteilsausgleich;autre;Nachteilsausgleich;nachteils-ausgleich;114;21;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Pädagogik;autre;Pädagogik;päda-gogik;113;47;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
politischen;autre;politischen;politi-schen;112;30;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Perspektive;autre;Perspektive;perspek-tive;105;63;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Selbstbestimmung;autre;Selbstbestimmung;selbst-bestimmung;104;44;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Bedingungen;autre;Bedingungen;bedin-gungen;103;53;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
beruflichen;autre;beruflichen;beruf-lichen;99;42;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
kommen;autre;kommen;kom-men;96;73;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Umfeld;autre;Umfeld;um-feld;94;58;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Rahmenbedingungen;autre;Rahmenbedingungen;rahmenbe-dingungen;94;60;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Autismus-Spektrum;handicap;Autismus-Spektrum;autismusspektrum|autismus-spek-trum;91;24;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
anhand;autre;anhand;an-hand;87;57;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
positive;autre;positive;posi-tive;87;52;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Strukturen;autre;Strukturen;struktu-ren;86;51;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Studierenden;autre;Studierenden;stu-dierenden|studieren-den;85;14;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Vertrauen;autre;Vertrauen;vertrau-en;84;49;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Veränderungen;autre;Veränderungen;veränderun-gen;84;49;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Herausforderung;autre;Herausforderung;heraus-forderung;83;51;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
miteinander;autre;miteinander;mit-einander;81;58;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
begleiten;autre;begleiten;beglei-ten|be-gleiten;79;53;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Mutter;autre;Mutter;mut-ter;79;22;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Arbeitsmarkt;autre;Arbeitsmarkt;arbeits-markt;78;20;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Zusammenhang;autre;Zusammenhang;zu-sammenhang;78;60;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
gemeinsamen;autre;gemeinsamen;ge-meinsamen;78;45;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Diagnostik;autre;Diagnostik;dia-gnostik;78;30;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
beschreibt;autre;beschreibt;be-schreibt;76;57;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
zweiten;autre;zweiten;zwei-ten;72;43;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Zugehörigkeit;autre;Zugehörigkeit;zugehö-rigkeit;71;19;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
heilpädagogischen;autre;heilpädagogischen;heilpädago-gischen;70;29;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Erkenntnisse;autre;Erkenntnisse;erkennt-nisse;70;52;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Hochschulen;ecole;Hochschulen;hoch-schulen;68;23;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
international;autre;international;inter-national;68;33;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
psychischen;autre;psychischen;psychi-schen;67;33;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
beeinflussen;autre;beeinflussen;beeinflus-sen;67;46;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
allerdings;autre;allerdings;aller-dings;67;45;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
zunehmend;autre;zunehmend;zu-nehmend;61;47;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Verhaltensweisen;autre;Verhaltensweisen;verhal-tensweisen|ver-haltensweisen;60;36;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
notwendig;autre;notwendig;not-wendig;59;47;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Erwachsenen;autre;Erwachsenen;erwach-senen;57;33;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
Antworten;autre;Antworten;ant-worten;56;40;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
zunächst;autre;zunächst;zu-nächst;55;39;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
betroffene;autre;betroffene;betrof-fene;54;29;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
vielfältige;autre;vielfältige;viel-fältige;54;37;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
profitieren;autre;profitieren;profi-tieren;54;39;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
wissenschaftliche;autre;wissenschaftliche;wissen-schaftliche;54;44;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
mögliche;autre;mögliche;mög-liche;52;34;;a_trancher;;;;trait d'union isolé (allemand) : probable coupure de justification du document source, pas une variante éditoriale — à vérifier avant toute promotion
